case,stratum,iou,precision,recall,f1_score,positioning_error_m,valid_pred,schema_failure,validation_error,n_polygons,is_multipolygon_pred,is_multipolygon_gt,latlon_swap_warning,call_seconds,vlm_request_tokens,vlm_response_tokens,error,evidence
FDBC0FDC-D090-4778-A123-232EB71DF3C6,good_x_easy,0.388664,0.505423,0.627204,0.559767,251.19,True,,,1,False,True,,35.96,4212,3971,,
POLA4_AREA,good_x_medium,0.121937,0.148209,0.407540,0.217368,132.77,True,,,1,False,True,,55.22,1479,5036,,
SSA402,good_x_easy,0.000000,0.000000,0.000000,0.000000,1079.19,True,,,1,False,True,,101.97,2616,14883,,
SSA403,good_x_easy,0.361914,0.369558,0.945934,0.531478,158.32,True,,,1,False,True,,76.28,2616,6567,,
SSA404,good_x_easy,0.000000,0.000000,0.000000,0.000000,13661.11,True,,,1,False,True,,309.94,2011,28776,,
SSA405,good_x_easy,0.000000,0.000000,0.000000,0.000000,705.35,True,,,1,False,True,,27.57,3148,2618,,
SSA407,good_x_medium,0.000000,0.000000,0.000000,0.000000,1009.50,True,,,1,False,True,,136.59,2616,18196,,
SSA408,good_x_easy,0.000000,0.000000,0.000000,0.000000,2234.48,True,,,1,False,True,,239.71,3075,21729,,
SSA409,good_x_medium,0.143162,0.278102,0.227826,0.250466,429.07,True,,,1,False,True,,80.76,2616,7088,,
SSA412,good_x_easy,0.000000,0.000000,0.000000,0.000000,561.22,True,,,1,False,True,,94.67,2543,8988,,
0C05FFFF-24D1-4DD1-870B-9BA6B05ED77A,good_x_easy,0.000000,0.000000,0.000000,0.000000,2471.95,True,,,1,False,True,,30.26,3704,2620,,
2ACB6DFF-E424-4EB5-BD0C-90BA056BDC64,good_x_easy,0.042097,0.069099,0.097251,0.080793,189.30,True,,,1,False,True,,45.74,4212,5772,,
A4_097:LL:030,good_x_easy,0.000000,0.000000,0.000000,0.000000,309.52,True,,,1,False,True,,24.16,2543,2256,,
ART4:15:00001,good_x_easy,0.091303,0.127253,0.244246,0.167328,518.72,True,,,1,False,True,,68.51,2543,8854,,
Ar4.17,good_x_easy,0.000000,0.000000,0.000000,0.000000,554.53,True,,,1,False,True,,115.15,4212,10063,,
B9CDCF90-EC6A-4B66-A967-DEBF3B72D58D,bad_x_easy,0.000000,0.000000,0.000000,0.000000,599.22,True,,,1,False,True,,120.82,2559,10538,,
SSA416,good_x_easy,0.000000,0.000000,0.000000,0.000000,820.76,True,,,1,False,True,,76.01,3148,7721,,
ARTICLE:260,bad_x_medium,0.021092,0.035123,0.050150,0.041312,1961.52,True,,,1,False,True,,103.77,2616,12415,,
